"","Forma_i_poziom","Zajêcia","Forma zajêæ / liczba godzin","Forma zaliczenia","Punkty ECTS","...5","X1","X2","X3","X4","X5"
"2986","Wschodoznawstwo (stacjonarne II stopnia)","Kultura i jêzyk informacji wspó³czesnej Rosji","Konwersatorium:
                    30","Zaliczenie z ocen¹","2","G",NA,NA,NA,NA,NA
"2987","Wschodoznawstwo (stacjonarne II stopnia)","Student wybiera jeden przedmiot zgodnie z poziomem znajomoœci jêzyka","Student wybiera jeden przedmiot zgodnie z poziomem znajomoœci jêzyka","Student wybiera jeden przedmiot zgodnie z poziomem znajomoœci jêzyka","Student wybiera jeden przedmiot zgodnie z poziomem znajomoœci jêzyka","Student wybiera jeden przedmiot zgodnie z poziomem znajomoœci jêzyka",NA,NA,NA,NA,NA
"2988","Wschodoznawstwo (stacjonarne II stopnia)","Kultura i jêzyk informacji wspó³czesnej Rosji, poziom A1","Konwersatorium:
                    30","Zaliczenie z ocen¹","2","F",NA,NA,NA,NA,NA
"2989","Wschodoznawstwo (stacjonarne II stopnia)","Kultura i jêzyk informacji wspó³czesnej Rosji, poziom B2","Konwersatorium:
                    30","Zaliczenie z ocen¹","2","F",NA,NA,NA,NA,NA
"2990","Wschodoznawstwo (stacjonarne II stopnia)","Seminarium magisterskie","Seminarium:
                    30","Zaliczenie z ocen¹","3","G",NA,NA,NA,NA,NA
"2991","Wschodoznawstwo (stacjonarne II stopnia)","Student kontynuuje wybrane seminarium","Student kontynuuje wybrane seminarium","Student kontynuuje wybrane seminarium","Student kontynuuje wybrane seminarium","Student kontynuuje wybrane seminarium",NA,NA,NA,NA,NA
"2992","Wschodoznawstwo (stacjonarne II stopnia)","Seminarium magisterskie","Seminarium:
                    30","Zaliczenie z ocen¹","3","F",NA,NA,NA,NA,NA
"2993","Wschodoznawstwo (stacjonarne II stopnia)","Podstawowe Ÿród³a informacji w jêzyku rosyjskim, poziom A1-2","Æwiczenia:
                    30","Zaliczenie z ocen¹","2","G",NA,NA,NA,NA,NA
"2994","Wschodoznawstwo (stacjonarne II stopnia)","Student wybiera jeden przedmiot zgodnie z poziomem znajomoœci jêzyka","Student wybiera jeden przedmiot zgodnie z poziomem znajomoœci jêzyka","Student wybiera jeden przedmiot zgodnie z poziomem znajomoœci jêzyka","Student wybiera jeden przedmiot zgodnie z poziomem znajomoœci jêzyka","Student wybiera jeden przedmiot zgodnie z poziomem znajomoœci jêzyka",NA,NA,NA,NA,NA
"2995","Wschodoznawstwo (stacjonarne II stopnia)","Podstawowe Ÿród³a informacji w jêzyku rosyjskim, poziom A1","Æwiczenia:
                    30","Zaliczenie z ocen¹","2","F",NA,NA,NA,NA,NA
"2996","Wschodoznawstwo (stacjonarne II stopnia)","Podstawowe Ÿród³a informacji w jêzyku rosyjskim, poziom B2","Æwiczenia:
                    30","Zaliczenie z ocen¹","2","F",NA,NA,NA,NA,NA
"2997","Wschodoznawstwo (stacjonarne II stopnia)","Konwersatorium wschodoznawcze","Konwersatorium:
                    15","Zaliczenie z ocen¹","1","G",NA,NA,NA,NA,NA
"2998","Wschodoznawstwo (stacjonarne II stopnia)","Student wybiera jeden przedmiot zgodnie z poziomem znajomoœci jêzyka","Student wybiera jeden przedmiot zgodnie z poziomem znajomoœci jêzyka","Student wybiera jeden przedmiot zgodnie z poziomem znajomoœci jêzyka","Student wybiera jeden przedmiot zgodnie z poziomem znajomoœci jêzyka","Student wybiera jeden przedmiot zgodnie z poziomem znajomoœci jêzyka",NA,NA,NA,NA,NA
"2999","Wschodoznawstwo (stacjonarne II stopnia)","Konwersatorium wschodoznawcze (gr. podstawowa)","Konwersatorium:
                    15","Zaliczenie z ocen¹","1","F",NA,NA,NA,NA,NA
"3000","Wschodoznawstwo (stacjonarne II stopnia)","Konwersatorium wschodoznawcze (gr. kontynuuj¹ca j. ros.)","Konwersatorium:
                    15","Zaliczenie z ocen¹","1","F",NA,NA,NA,NA,NA
"3001","Wschodoznawstwo (stacjonarne II stopnia)","Polska polityka wschodnia","Wyk³ad:
                    30","Zaliczenie z ocen¹","3","O",NA,NA,NA,NA,NA
"3002","Wschodoznawstwo (stacjonarne II stopnia)","Transformacja gospodarki i system rynkowy Rosji","Konwersatorium:
                    15","Zaliczenie z ocen¹","1","O",NA,NA,NA,NA,NA
"3003","Wschodoznawstwo (stacjonarne II stopnia)","Teoria i praktyka dyplomacji","Wyk³ad:
                    30","Egzamin","4","O",NA,NA,NA,NA,NA
"3004","Wschodoznawstwo (stacjonarne II stopnia)","Jêzyk nowo¿ytny specjalistyczny","Lektorat:
                    30","Zaliczenie z ocen¹","2","G",NA,NA,NA,NA,NA
"3005","Wschodoznawstwo (stacjonarne II stopnia)","Student wybiera jeden przedmiot","Student wybiera jeden przedmiot","Student wybiera jeden przedmiot","Student wybiera jeden przedmiot","Student wybiera jeden przedmiot",NA,NA,NA,NA,NA
"3006","Wschodoznawstwo (stacjonarne II stopnia)","Jêzyk rosyjski B2+ dla wschodoznawców","Lektorat:
                    30","Zaliczenie z ocen¹","2","F",NA,NA,NA,NA,NA
"3007","Wschodoznawstwo (stacjonarne II stopnia)","Jêzyk angielski","Lektorat:
                    30","Zaliczenie z ocen¹","2","F",NA,NA,NA,NA,NA
"3008","Wschodoznawstwo (stacjonarne II stopnia)","Jêzyk niemiecki","Lektorat:
                    30","Zaliczenie z ocen¹","2","F",NA,NA,NA,NA,NA
"3009","Wschodoznawstwo (stacjonarne II stopnia)","Jêzyk francuski","Lektorat:
                    30","Zaliczenie z ocen¹","2","F",NA,NA,NA,NA,NA
"3010","Wschodoznawstwo (stacjonarne II stopnia)","Œcie¿ka do wyboru","Wyk³ad:
                    30                    
                                Konwersatorium:
                    30","Egzamin/zaliczenie z ocen¹                    
                                                    Egzamin/zaliczenie z ocen¹","8","G",NA,NA,NA,NA,NA
"3011","Wschodoznawstwo (stacjonarne II stopnia)","Student kontynuuje œcie¿kê, wybran¹ w semestrze 1.","Student kontynuuje œcie¿kê, wybran¹ w semestrze 1.","Student kontynuuje œcie¿kê, wybran¹ w semestrze 1.","Student kontynuuje œcie¿kê, wybran¹ w semestrze 1.","Student kontynuuje œcie¿kê, wybran¹ w semestrze 1.",NA,NA,NA,NA,NA
"3012","Wschodoznawstwo (stacjonarne II stopnia)","Œcie¿ka: Europa wschodnia","Wyk³ad:
                    30                    
                                Konwersatorium:
                    30","Egzamin/zaliczenie z ocen¹                    
                                                    Egzamin/zaliczenie z ocen¹","8","F",NA,NA,NA,NA,NA
"3013","Wschodoznawstwo (stacjonarne II stopnia)","Transformacja gospodarcza i systemy rynkowe krajów Europy Wschodniej","Wyk³ad:
                    15                    
                                Konwersatorium:
                    15","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","O",NA,NA,NA,NA,NA
"3014","Wschodoznawstwo (stacjonarne II stopnia)","Struktura etniczna, religijna i spo³eczna krajów Europy Wschodniej","Wyk³ad:
                    15                    
                                Konwersatorium:
                    15","Egzamin                    
                                                    Zaliczenie z ocen¹","4","O",NA,NA,NA,NA,NA
"3015","Wschodoznawstwo (stacjonarne II stopnia)","Œcie¿ka: Kraje ba³tyckie","Wyk³ad:
                    30                    
                                Konwersatorium:
                    30","Egzamin/zaliczenie z ocen¹                    
                                                    Egzamin/zaliczenie z ocen¹","8","F",NA,NA,NA,NA,NA
"3016","Wschodoznawstwo (stacjonarne II stopnia)","£otwa i Estonia w XX-XXI wieku","Wyk³ad:
                    15                    
                                Konwersatorium:
                    15","Egzamin                    
                                                    Zaliczenie z ocen¹","4","O",NA,NA,NA,NA,NA
"3017","Wschodoznawstwo (stacjonarne II stopnia)","Mniejszoœci narodowe w krajach ba³tyckich","Wyk³ad:
                    15","Zaliczenie z ocen¹","2","O",NA,NA,NA,NA,NA
"3018","Wschodoznawstwo (stacjonarne II stopnia)","Stosunki Polski z pañstwami ba³tyckimi po 1990 roku","Konwersatorium:
                    15","Zaliczenie z ocen¹","2","O",NA,NA,NA,NA,NA
"3019","Wschodoznawstwo (stacjonarne II stopnia)","Œcie¿ka: Azja - Kaukaz","Wyk³ad:
                    30                    
                                Konwersatorium:
                    30","Egzamin/zaliczenie z ocen¹                    
                                                    Egzamin/zaliczenie z ocen¹","8","F",NA,NA,NA,NA,NA
"3020","Wschodoznawstwo (stacjonarne II stopnia)","Transformacja polityczna i ekonomiczna pañstw kaukaskich i œrodkowoazjatyckich","Wyk³ad:
                    15                    
                                Konwersatorium:
                    15","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","O",NA,NA,NA,NA,NA
"3021","Wschodoznawstwo (stacjonarne II stopnia)","Azja œrodkowa i Kaukaz Po³udniowy we wspó³czesnych stosunkach politycznych","Wyk³ad:
                    15                    
                                Konwersatorium:
                    15","Egzamin                    
                                                    Zaliczenie z ocen¹","4","O",NA,NA,NA,NA,NA
"3022","Wschodoznawstwo (stacjonarne II stopnia)","Suma","300","","30","",NA,NA,NA,NA,NA
"3023","Wschodoznawstwo (stacjonarne II stopnia)","Zajêcia","Forma zajêæ / liczba godzin","Forma zaliczenia","Punkty ECTS","",NA,NA,NA,NA,NA
"3024","Wschodoznawstwo (stacjonarne II stopnia)","Seminarium magisterskie","Seminarium:
                    30","Zaliczenie z ocen¹","3","G",NA,NA,NA,NA,NA
"3025","Wschodoznawstwo (stacjonarne II stopnia)","Student kontynuuje wybrane seminarium","Student kontynuuje wybrane seminarium","Student kontynuuje wybrane seminarium","Student kontynuuje wybrane seminarium","Student kontynuuje wybrane seminarium",NA,NA,NA,NA,NA
"3026","Wschodoznawstwo (stacjonarne II stopnia)","Seminarium magisterskie","Seminarium:
                    30","Zaliczenie z ocen¹","3","F",NA,NA,NA,NA,NA
"3027","Wschodoznawstwo (stacjonarne II stopnia)","Konwersatorium wschodoznawcze","Konwersatorium:
                    15","Zaliczenie z ocen¹","1","G",NA,NA,NA,NA,NA
"3028","Wschodoznawstwo (stacjonarne II stopnia)","Student wybiera jeden przedmiot zgodnie z poziomem znajomoœci jêzyka","Student wybiera jeden przedmiot zgodnie z poziomem znajomoœci jêzyka","Student wybiera jeden przedmiot zgodnie z poziomem znajomoœci jêzyka","Student wybiera jeden przedmiot zgodnie z poziomem znajomoœci jêzyka","Student wybiera jeden przedmiot zgodnie z poziomem znajomoœci jêzyka",NA,NA,NA,NA,NA
"3029","Wschodoznawstwo (stacjonarne II stopnia)","Konwersatorium wschodoznawcze (gr. podstawowa)","Konwersatorium:
                    15","Zaliczenie z ocen¹","1","F",NA,NA,NA,NA,NA
"3030","Wschodoznawstwo (stacjonarne II stopnia)","Konwersatorium wschodoznawcze (gr. kontynuuj¹ca j. ros.)","Konwersatorium:
                    15","Zaliczenie z ocen¹","1","F",NA,NA,NA,NA,NA
"3031","Wschodoznawstwo (stacjonarne II stopnia)","Polityka miêdzynarodowa wspó³czesnej Rosji","Wyk³ad:
                    15                    
                                Æwiczenia:
                    15","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","O",NA,NA,NA,NA,NA
"3032","Wschodoznawstwo (stacjonarne II stopnia)","Pañstwa b. ZSRR w organizacjach regionalnych","Wyk³ad:
                    30","Egzamin","3","O",NA,NA,NA,NA,NA
"3033","Wschodoznawstwo (stacjonarne II stopnia)","Obszar Europy Wschodniej, Azji Œrodkowej, Kaukazu i Syberii jako region turystyczny","Wyk³ad:
                    30","Egzamin","4","O",NA,NA,NA,NA,NA
"3034","Wschodoznawstwo (stacjonarne II stopnia)","Polityka obronnoœci i bezpieczeñstwa Federacji Rosyjskiej","Wyk³ad:
                    15                    
                                Æwiczenia:
                    15","Egzamin                    
                                                    Zaliczenie z ocen¹","4","O",NA,NA,NA,NA,NA
"3035","Wschodoznawstwo (stacjonarne II stopnia)","Zajêcia do wyboru z listy wydzia³owej","Wyk³ad:
                    30","Zaliczenie z ocen¹","3","G",NA,NA,NA,NA,NA
"3036","Wschodoznawstwo (stacjonarne II stopnia)","Student wybiera jeden przedmiot z oferty Wydzia³u Historii","Student wybiera jeden przedmiot z oferty Wydzia³u Historii","Student wybiera jeden przedmiot z oferty Wydzia³u Historii","Student wybiera jeden przedmiot z oferty Wydzia³u Historii","Student wybiera jeden przedmiot z oferty Wydzia³u Historii",NA,NA,NA,NA,NA
"3037","Wschodoznawstwo (stacjonarne II stopnia)","Zajêcia do wyboru z listy wydzia³owej","Wyk³ad:
                    30","Zaliczenie z ocen¹","3","F",NA,NA,NA,NA,NA
"3038","Wschodoznawstwo (stacjonarne II stopnia)","Œcie¿ka do wyboru","Wyk³ad:
                    30                    
                                Konwersatorium:
                    30","Egzamin/zaliczenie z ocen¹                    
                                                    Egzamin/zaliczenie z ocen¹","8","G",NA,NA,NA,NA,NA
"3039","Wschodoznawstwo (stacjonarne II stopnia)","Student kontynuuje œcie¿kê, wybran¹ w semestrze 1.","Student kontynuuje œcie¿kê, wybran¹ w semestrze 1.","Student kontynuuje œcie¿kê, wybran¹ w semestrze 1.","Student kontynuuje œcie¿kê, wybran¹ w semestrze 1.","Student kontynuuje œcie¿kê, wybran¹ w semestrze 1.",NA,NA,NA,NA,NA
"3040","Wschodoznawstwo (stacjonarne II stopnia)","Œcie¿ka: Europa wschodnia","Wyk³ad:
                    30                    
                                Konwersatorium:
                    30","Egzamin/zaliczenie z ocen¹                    
                                                    Egzamin/zaliczenie z ocen¹","8","F",NA,NA,NA,NA,NA
"3041","Wschodoznawstwo (stacjonarne II stopnia)","Polityka miêdzynarodowa, bezpieczeñstwa i wspó³pracy regionalnej pañstw Europy Wschodniej","Wyk³ad:
                    15                    
                                Konwersatorium:
                    15","Egzamin                    
                                                    Zaliczenie z ocen¹","4","O",NA,NA,NA,NA,NA
"3042","Wschodoznawstwo (stacjonarne II stopnia)","Kultura i media w pañstwach Europy Wschodniej","Konwersatorium:
                    15","Zaliczenie z ocen¹","2","O",NA,NA,NA,NA,NA
"3043","Wschodoznawstwo (stacjonarne II stopnia)","Stosunki Polski z pañstwami Europy Wschodniej","Wyk³ad:
                    15","Egzamin","2","O",NA,NA,NA,NA,NA
"3044","Wschodoznawstwo (stacjonarne II stopnia)","Œcie¿ka: Kraje ba³tyckie","Wyk³ad:
                    30                    
                                Konwersatorium:
                    30","Egzamin                    
                                                    Zaliczenie z ocen¹","8","F",NA,NA,NA,NA,NA
"3045","Wschodoznawstwo (stacjonarne II stopnia)","Litwa, £otwa i Estonia w procesach integracji ba³tyckiej i europejskiej","Wyk³ad:
                    15                    
                                Konwersatorium:
                    15","Egzamin                    
                                                    Zaliczenie z ocen¹","4","O",NA,NA,NA,NA,NA
"3046","Wschodoznawstwo (stacjonarne II stopnia)","Kultura tradycyjna i wspó³czesna krajów ba³tyckich","Wyk³ad:
                    15                    
                                Konwersatorium:
                    15","Egzamin                    
                                                    Zaliczenie z ocen¹","4","O",NA,NA,NA,NA,NA
"3047","Wschodoznawstwo (stacjonarne II stopnia)","Œcie¿ka: Azja - Kaukaz","Wyk³ad:
                    30                    
                                Konwersatorium:
                    30","Egzamin                    
                                                    Zaliczenie z ocen¹","8","F",NA,NA,NA,NA,NA
"3048","Wschodoznawstwo (stacjonarne II stopnia)","Kaukaskie i azjatyckie podmioty Federacji Rosyjskiej","Wyk³ad:
                    15                    
                                Konwersatorium:
                    15","Egzamin                    
                                                    Zaliczenie z ocen¹","4","O",NA,NA,NA,NA,NA
"3049","Wschodoznawstwo (stacjonarne II stopnia)","Dziedzictwo kulturowe i wspó³czesna kultura regionu Kaukazu","Wyk³ad:
                    15                    
                                Konwersatorium:
                    15","Egzamin                    
                                                    Zaliczenie z ocen¹","4","O",NA,NA,NA,NA,NA
"3050","Wschodoznawstwo (stacjonarne II stopnia)","Suma","255","","30","",NA,NA,NA,NA,NA
"3051","Wschodoznawstwo (stacjonarne II stopnia)","Zajêcia","Forma zajêæ / liczba godzin","Forma zaliczenia","Punkty ECTS","",NA,NA,NA,NA,NA
"3052","Wschodoznawstwo (stacjonarne II stopnia)","Seminarium magisterskie","Seminarium:
                    30","Zaliczenie z ocen¹","29","G",NA,NA,NA,NA,NA
"3053","Wschodoznawstwo (stacjonarne II stopnia)","Student kontynuuje wybrane seminarium","Student kontynuuje wybrane seminarium","Student kontynuuje wybrane seminarium","Student kontynuuje wybrane seminarium","Student kontynuuje wybrane seminarium",NA,NA,NA,NA,NA
"3054","Wschodoznawstwo (stacjonarne II stopnia)","Seminarium magisterskie","Seminarium:
                    30","Zaliczenie z ocen¹","29","F",NA,NA,NA,NA,NA
"3055","Wschodoznawstwo (stacjonarne II stopnia)","Konwersatorium wschodoznawcze","Konwersatorium:
                    15","Zaliczenie z ocen¹","1","G",NA,NA,NA,NA,NA
"3056","Wschodoznawstwo (stacjonarne II stopnia)","Student wybiera jeden przedmiot zgodnie z poziomem znajomoœci jêzyka","Student wybiera jeden przedmiot zgodnie z poziomem znajomoœci jêzyka","Student wybiera jeden przedmiot zgodnie z poziomem znajomoœci jêzyka","Student wybiera jeden przedmiot zgodnie z poziomem znajomoœci jêzyka","Student wybiera jeden przedmiot zgodnie z poziomem znajomoœci jêzyka",NA,NA,NA,NA,NA
"3057","Wschodoznawstwo (stacjonarne II stopnia)","Konwersatorium wschodoznawcze (gr. podstawowa)","Konwersatorium:
                    15","Zaliczenie z ocen¹","1","F",NA,NA,NA,NA,NA
"3058","Wschodoznawstwo (stacjonarne II stopnia)","Konwersatorium wschodoznawcze (gr. kontynuuj¹ca j. ros.)","Konwersatorium:
                    15","Zaliczenie z ocen¹","1","F",NA,NA,NA,NA,NA
"3059","Wschodoznawstwo (stacjonarne II stopnia)","Suma","45","","30","",NA,NA,NA,NA,NA
"3060","Analiza i przetwarzanie danych (stacjonarne II stopnia)","Podstawy matematyki","Æwiczenia:
                    75","Zaliczenie z ocen¹","7","O",NA,NA,NA,NA,NA
"3061","Analiza i przetwarzanie danych (stacjonarne II stopnia)","Wstêp do informatyki","Wyk³ad:
                    30                    
                                Æwiczenia w salach komputerowych:
                    30","Egzamin                    
                                                    Zaliczenie z ocen¹","6","O",NA,NA,NA,NA,NA
"3062","Analiza i przetwarzanie danych (stacjonarne II stopnia)","Programowanie w jêzyku Python","Wyk³ad:
                    30                    
                                Æwiczenia w salach komputerowych:
                    30","Egzamin                    
                                                    Zaliczenie z ocen¹","6","O",NA,NA,NA,NA,NA
"3063","Analiza i przetwarzanie danych (stacjonarne II stopnia)","Warsztat programisty","Æwiczenia w salach komputerowych:
                    30","Zaliczenie z ocen¹","4","O",NA,NA,NA,NA,NA
"3064","Analiza i przetwarzanie danych (stacjonarne II stopnia)","Proseminarium","Proseminarium:
                    15","Zaliczenie z ocen¹","2","O",NA,NA,NA,NA,NA
"3065","Analiza i przetwarzanie danych (stacjonarne II stopnia)","Jêzyk angielski B2+ 1","Lektorat:
                    30","Zaliczenie z ocen¹","2","O",NA,NA,NA,NA,NA
"3066","Analiza i przetwarzanie danych (stacjonarne II stopnia)","Szkolenie bhp","Szkolenie bhp:
                    4, w tym zajêcia zdalne:
                    Szkolenie bhp asynchroniczne: 4","Zaliczenie","-","O",NA,NA,NA,NA,NA
"3067","Analiza i przetwarzanie danych (stacjonarne II stopnia)","Suma","274","","27","",NA,NA,NA,NA,NA
"3068","Analiza i przetwarzanie danych (stacjonarne II stopnia)","Zajêcia","Forma zajêæ / liczba godzin","Forma zaliczenia","Punkty ECTS","",NA,NA,NA,NA,NA
"3069","Analiza i przetwarzanie danych (stacjonarne II stopnia)","Rachunek prawdopodobieñstwa","Wyk³ad:
                    15, w tym zajêcia zdalne:
                    Wyk³ad synchroniczny: 15
                                            
                                Æwiczenia:
                    15                    
                                Æwiczenia w salach komputerowych:
                    5","Zaliczenie z ocen¹                                            
                                                    Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","O",NA,NA,NA,NA,NA
"3070","Analiza i przetwarzanie danych (stacjonarne II stopnia)","Statystyka z jêzykiem R","Wyk³ad:
                    20, w tym zajêcia zdalne:
                    Wyk³ad synchroniczny: 20
                                            
                                Æwiczenia w salach komputerowych:
                    30","Egzamin                                            
                                                    Zaliczenie z ocen¹","6","O",NA,NA,NA,NA,NA
"3071","Analiza i przetwarzanie danych (stacjonarne II stopnia)","Jêzyk SQL w analizie danych","Wyk³ad:
                    15                    
                                Æwiczenia w salach komputerowych:
                    45","Egzamin                    
                                                    Zaliczenie z ocen¹","6","O",NA,NA,NA,NA,NA
"3072","Analiza i przetwarzanie danych (stacjonarne II stopnia)","Uczenie maszynowe","Wyk³ad:
                    30                    
                                Æwiczenia w salach komputerowych:
                    30","Egzamin                    
                                                    Zaliczenie z ocen¹","6","O",NA,NA,NA,NA,NA
"3073","Analiza i przetwarzanie danych (stacjonarne II stopnia)","Algorytmy i struktury danych","Wyk³ad:
                    30                    
                                Æwiczenia:
                    15                    
                                Æwiczenia w salach komputerowych:
                    15","Egzamin                    
                                                    Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","6","O",NA,NA,NA,NA,NA
"3074","Analiza i przetwarzanie danych (stacjonarne II stopnia)","Seminarium magisterskie 1","Seminarium:
                    30","Zaliczenie z ocen¹","3","G",NA,NA,NA,NA,NA
"3075","Analiza i przetwarzanie danych (stacjonarne II stopnia)","Seminarium magisterskie 1 – stacjonarne","Seminarium:
                    30","Zaliczenie z ocen¹","3","F",NA,NA,NA,NA,NA
"3076","Analiza i przetwarzanie danych (stacjonarne II stopnia)","Seminarium magisterskie 1 – zdalne","Seminarium:
                    30, w tym zajêcia zdalne:
                    Seminarium synchroniczne: 30","Zaliczenie z ocen¹","3","F",NA,NA,NA,NA,NA
"3077","Analiza i przetwarzanie danych (stacjonarne II stopnia)","Jêzyk angielski B2+ 2","Lektorat:
                    30","Zaliczenie z ocen¹","2","O",NA,NA,NA,NA,NA
"3078","Analiza i przetwarzanie danych (stacjonarne II stopnia)","Suma","325","","33","",NA,NA,NA,NA,NA
"3079","Analiza i przetwarzanie danych (stacjonarne II stopnia)","Zajêcia","Forma zajêæ / liczba godzin","Forma zaliczenia","Punkty ECTS","",NA,NA,NA,NA,NA
"3080","Analiza i przetwarzanie danych (stacjonarne II stopnia)","Systemy informatyczne analizy danych","Wyk³ad:
                    30                    
                                Laboratorium:
                    30","Egzamin                    
                                                    Zaliczenie z ocen¹","6","O",NA,NA,NA,NA,NA
"3081","Analiza i przetwarzanie danych (stacjonarne II stopnia)","Analiza danych","Wyk³ad:
                    30, w tym zajêcia zdalne:
                    Wyk³ad synchroniczny: 5
                                                    Wyk³ad asynchroniczny: 25
                                            
                                Laboratorium:
                    30","Egzamin                                            
                                                    Zaliczenie z ocen¹","6","O",NA,NA,NA,NA,NA
"3082","Analiza i przetwarzanie danych (stacjonarne II stopnia)","Gromadzenie i eksploracja danych","Wyk³ad:
                    30                    
                                Laboratorium:
                    30","Egzamin                    
                                                    Zaliczenie z ocen¹","6","O",NA,NA,NA,NA,NA
"3083","Analiza i przetwarzanie danych (stacjonarne II stopnia)","Przedmioty fakultatywne 1","Suma godzin kontaktowych:
                    60","Zaliczenie z ocen¹","6","G",NA,NA,NA,NA,NA
"3084","Analiza i przetwarzanie danych (stacjonarne II stopnia)","Student wybiera co najmniej jeden przedmiot ³¹cznie za 6 pkt. ECTS. Lista przedmiotów fakultatywnych mo¿e byæ rozszerzona przez Radê Programow¹ kierunku Analiza i przetwarzanie danych przed zapisami na zajêcia.","Student wybiera co najmniej jeden przedmiot ³¹cznie za 6 pkt. ECTS. Lista przedmiotów fakultatywnych mo¿e byæ rozszerzona przez Radê Programow¹ kierunku Analiza i przetwarzanie danych przed zapisami na zajêcia.","Student wybiera co najmniej jeden przedmiot ³¹cznie za 6 pkt. ECTS. Lista przedmiotów fakultatywnych mo¿e byæ rozszerzona przez Radê Programow¹ kierunku Analiza i przetwarzanie danych przed zapisami na zajêcia.","Student wybiera co najmniej jeden przedmiot ³¹cznie za 6 pkt. ECTS. Lista przedmiotów fakultatywnych mo¿e byæ rozszerzona przez Radê Programow¹ kierunku Analiza i przetwarzanie danych przed zapisami na zajêcia.","Student wybiera co najmniej jeden przedmiot ³¹cznie za 6 pkt. ECTS. Lista przedmiotów fakultatywnych mo¿e byæ rozszerzona przez Radê Programow¹ kierunku Analiza i przetwarzanie danych przed zapisami na zajêcia.",NA,NA,NA,NA,NA
"3085","Analiza i przetwarzanie danych (stacjonarne II stopnia)","Modele liniowe","Wyk³ad:
                    30, w tym zajêcia zdalne:
                    Wyk³ad synchroniczny: 30
                                            
                                Laboratorium:
                    30","Egzamin                                            
                                                    Zaliczenie z ocen¹","6","F",NA,NA,NA,NA,NA
"3086","Analiza i przetwarzanie danych (stacjonarne II stopnia)","Nierelacyjne bazy danych","Wyk³ad:
                    30                    
                                Laboratorium:
                    30","Egzamin                    
                                                    Zaliczenie z ocen¹","6","F",NA,NA,NA,NA,NA
"3087","Analiza i przetwarzanie danych (stacjonarne II stopnia)","Projekt magisterski 1","Laboratorium:
                    15","Zaliczenie z ocen¹","3","O",NA,NA,NA,NA,NA
"3088","Analiza i przetwarzanie danych (stacjonarne II stopnia)","Seminarium magisterskie 2","Seminarium:
                    30","Zaliczenie z ocen¹","3","G",NA,NA,NA,NA,NA
"3089","Analiza i przetwarzanie danych (stacjonarne II stopnia)","Seminarium magisterskie 2 – stacjonarne","Seminarium:
                    30","Zaliczenie z ocen¹","3","F",NA,NA,NA,NA,NA
"3090","Analiza i przetwarzanie danych (stacjonarne II stopnia)","Seminarium magisterskie 2 – zdalne","Seminarium:
                    30, w tym zajêcia zdalne:
                    Seminarium synchroniczne: 30","Zaliczenie z ocen¹","3","F",NA,NA,NA,NA,NA
"3091","Analiza i przetwarzanie danych (stacjonarne II stopnia)","Suma","285","","30","",NA,NA,NA,NA,NA
"3092","Analiza i przetwarzanie danych (stacjonarne II stopnia)","Zajêcia","Forma zajêæ / liczba godzin","Forma zaliczenia","Punkty ECTS","",NA,NA,NA,NA,NA
"3093","Analiza i przetwarzanie danych (stacjonarne II stopnia)","Przedmiot z nauk humanistycznych lub spo³ecznych","Suma godzin kontaktowych:
                    30","Zaliczenie z ocen¹","5","G",NA,NA,NA,NA,NA
"3094","Analiza i przetwarzanie danych (stacjonarne II stopnia)","Student wybiera jeden przedmiot. Lista przedmiotów fakultatywnych mo¿e byæ rozszerzona przez Radê Programow¹ kierunku Analiza i przetwarzanie danych przed zapisami na zajêcia.","Student wybiera jeden przedmiot. Lista przedmiotów fakultatywnych mo¿e byæ rozszerzona przez Radê Programow¹ kierunku Analiza i przetwarzanie danych przed zapisami na zajêcia.","Student wybiera jeden przedmiot. Lista przedmiotów fakultatywnych mo¿e byæ rozszerzona przez Radê Programow¹ kierunku Analiza i przetwarzanie danych przed zapisami na zajêcia.","Student wybiera jeden przedmiot. Lista przedmiotów fakultatywnych mo¿e byæ rozszerzona przez Radê Programow¹ kierunku Analiza i przetwarzanie danych przed zapisami na zajêcia.","Student wybiera jeden przedmiot. Lista przedmiotów fakultatywnych mo¿e byæ rozszerzona przez Radê Programow¹ kierunku Analiza i przetwarzanie danych przed zapisami na zajêcia.",NA,NA,NA,NA,NA
"3095","Analiza i przetwarzanie danych (stacjonarne II stopnia)","Filozofia informacji","Wyk³ad:
                    30","Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"3096","Analiza i przetwarzanie danych (stacjonarne II stopnia)","Historia obliczeñ","Æwiczenia:
                    30","Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"3097","Analiza i przetwarzanie danych (stacjonarne II stopnia)","Przedmioty fakultatywne 2","Suma godzin kontaktowych:
                    120","Egzamin/zaliczenie z ocen¹","12","G",NA,NA,NA,NA,NA
